player_name,year,rounds,measured_rounds,avg_off_tee,avg_approach,avg_around,avg_putting
Russ Cochran,2004,61,55,-0.051,0.104,-0.172,0.028
Jay Haas,2004,84,61,-0.134,0.862,0.506,0.027
Kent Jones,2004,99,87,0.047,0.247,-0.116,0.026
Hank Kuehne,2004,91,84,0.181,-0.304,0.03,0.024
Deane Pappas,2004,72,64,-0.083,-0.32,0.093,0.021
Cameron Beckman,2004,99,87,0.029,0.364,-0.026,0.018
Rod Pampling,2004,98,78,0.183,0.014,0.223,0.018
Charles Howell III,2004,104,76,0.428,0.018,0.095,0.002
Alex Cejka,2004,76,57,0.119,0.255,0.02,-0.006
J.P. Hayes,2004,79,64,-0.162,-0.14,-0.026,-0.016
Neal Lancaster,2004,106,93,0.118,0.133,-0.049,-0.016
Dudley Hart,2004,60,46,0.064,0.557,-0.051,-0.021
Cliff Kresge,2004,89,75,-0.312,-0.169,-0.052,-0.022
Bart Bryant,2004,73,65,0.226,0.484,-0.1,-0.03
Arjun Atwal,2004,85,75,0.013,-0.097,-0.116,-0.034
Kevin Sutherland,2004,86,67,0.241,-0.137,0.315,-0.045
John Cook,2004,57,48,-0.373,0.175,0.127,-0.047
Ken Duke,2004,89,80,-0.404,-0.488,-0.134,-0.051
Steve Elkington,2004,64,56,-0.047,-0.031,0.044,-0.052
Spike McRoy,2004,93,77,0.127,-0.264,-0.052,-0.052
Guy Boros,2004,64,59,-0.045,-0.403,-0.341,-0.056
Ted Purdy,2004,114,103,0.369,0.322,-0.081,-0.058
Arron Oberholser,2004,77,62,0.243,0.232,0.1,-0.067
Kenny Perry,2004,79,62,0.73,0.512,-0.017,-0.069
Jason Dufner,2004,79,72,0.083,-0.087,0.224,-0.074
Esteban Toledo,2004,92,80,-0.261,-0.639,0.227,-0.076
Rich Barcelo,2004,67,59,-0.107,-0.111,-0.14,-0.08
Blaine McCallister,2004,68,62,-0.187,-0.352,0.04,-0.08
Ryan Palmer,2004,103,90,0.293,0.12,-0.235,-0.082
Robert Gamez,2004,103,90,0.111,0.378,-0.056,-0.084
Phil Mickelson,2004,83,54,0.597,0.597,0.217,-0.087
Vijay Singh,2004,112,89,0.87,1.116,0.352,-0.089
Tommy Armour III,2004,87,76,0.167,-0.302,-0.004,-0.09
John Senden,2004,99,86,0.356,0.177,-0.094,-0.097
David Toms,2004,80,59,0.102,0.968,-0.024,-0.099
Chris Couch,2004,55,46,0.224,-1.088,-1.269,-0.104
Kris Cox,2004,73,61,-0.035,-0.319,-0.216,-0.104
Mark Wilson,2004,62,58,0.018,-0.078,0.121,-0.104
Bob Estes,2004,73,51,-0.273,0.48,0.262,-0.124
Mark Calcavecchia,2004,79,60,0.212,0.069,-0.039,-0.125
Hirofumi Miyase,2004,65,57,-0.243,-0.716,-0.2,-0.128
Jay Williamson,2004,100,90,0.113,-0.053,-0.194,-0.128
Carlos Franco,2004,99,90,0.13,0.413,0.236,-0.134
John Riegger,2004,53,49,0.179,0.231,-0.221,-0.135
Scott Hoch,2004,52,46,0.237,0.721,0.045,-0.141
Kevin Na,2004,100,86,0.09,0.115,0.14,-0.141
Jeff Maggert,2004,60,50,0.157,0.303,-0.177,-0.143
Mathias Grönberg,2004,91,74,0.187,-0.102,-0.064,-0.145
Tripp Isenhour,2004,55,47,-0.245,-0.158,-0.285,-0.145
Steve Allan,2004,102,88,0.246,-0.058,-0.087,-0.147
Craig Perks,2004,75,63,-0.577,-0.091,0.271,-0.147
Steve Lowery,2004,91,74,0.054,0.339,-0.255,-0.16
Steve Pate,2004,71,61,-0.396,-0.081,0.144,-0.165
Briny Baird,2004,100,81,0.216,0.374,-0.041,-0.167
Ben Curtis,2004,56,41,0.171,0.274,0.223,-0.174
J.L. Lewis,2004,106,89,0.1,0.285,-0.219,-0.184
Chad Campbell,2004,100,77,0.183,0.66,-0.132,-0.186
Justin Leonard,2004,90,65,0.035,0.379,0.336,-0.186
Notah Begay III,2004,71,63,0.192,0.06,0.077,-0.195
Tom Lehman,2004,70,58,0.392,0.596,0.196,-0.201
Jason Bohn,2004,98,88,0.369,0.119,-0.15,-0.205
D.J. Brigman,2004,79,69,0.117,0.041,-0.002,-0.213
David Branshaw,2004,84,72,-0.186,0.14,-0.288,-0.225
Bernhard Langer,2004,59,42,0.029,0.616,0.055,-0.229
Justin Rose,2004,77,63,0.283,0.882,0.131,-0.231
Pat Perez,2004,102,86,0.329,0.06,-0.087,-0.241
Jeff Brehaut,2004,106,94,0.292,-0.161,-0.166,-0.242
Andre Stolz,2004,53,48,-0.333,-0.532,-0.137,-0.246
Robert Allenby,2004,93,72,0.541,0.675,-0.215,-0.267
Scott Hend,2004,81,70,0.375,-0.35,-0.018,-0.268
Jonathan Kaye,2004,79,62,0.278,0.08,-0.096,-0.269
Joey Sindelar,2004,100,89,0.281,0.679,-0.327,-0.272
Jeff Sluman,2004,98,82,0.199,0.76,0.184,-0.281
Roger Tambellini,2004,81,70,0.117,-0.219,-0.033,-0.281
Chris Smith,2004,105,93,0.526,0.082,-0.43,-0.282
Gene Sauers,2004,83,73,-0.287,-0.097,-0.062,-0.302
Lucas Glover,2004,95,84,0.564,0.036,-0.358,-0.312
Heath Slocum,2004,92,83,0.13,0.257,0.123,-0.312
Lee Janzen,2004,84,70,-0.167,0.692,0.26,-0.319
Craig Barlow,2004,80,69,0.383,0.028,0.222,-0.344
Niclas Fasth,2004,61,52,0.072,-0.169,0.028,-0.357
Grant Waite,2004,79,68,-0.21,-0.314,0.232,-0.366
Vaughn Taylor,2004,84,77,0.207,0.426,-0.018,-0.387
Robert Damron,2004,92,84,0.054,0.356,0.026,-0.392
Billy Mayfair,2004,109,93,0.242,-0.06,0.13,-0.405
Dicky Pride,2004,66,59,-0.308,-0.265,-0.305,-0.408
Joe Durant,2004,85,76,0.692,0.453,-0.19,-0.426
Fred Couples,2004,54,44,0.234,0.37,0.432,-0.437
Rich Beem,2004,81,61,0.32,-0.11,0.067,-0.438
Omar Uresti,2004,85,76,-0.194,0.147,0.221,-0.438
Peter Lonard,2004,68,54,0.365,0.294,0.001,-0.502
Roland Thatcher,2004,66,61,0.448,-0.057,-0.312,-0.511
Mark Brooks,2004,72,57,-0.324,-0.471,0.144,-0.518
Woody Austin,2004,94,83,0.381,0.35,-0.045,-0.527
Sergio Garcia,2004,65,50,0.606,1.211,0.091,-0.573
Rocco Mediate,2004,53,36,0.115,0.242,-0.13,-0.649
John Huston,2004,62,45,0.205,0.701,0.221,-0.683
Kevin Muncrief,2004,50,45,-0.567,-0.448,-0.175,-0.824
David Gossett,2004,57,51,-1.075,-1.484,-0.109,-0.871
Ben Crane,2005,78,65,0.097,-0.215,0.119,0.939
Brad Faxon,2005,75,58,-0.459,0.415,0.099,0.799
Len Mattiace,2005,86,76,-0.495,-1.62,0.219,0.787
Bob Tway,2005,87,66,-0.013,0.075,-0.012,0.736
Tiger Woods,2005,76,55,0.896,0.86,-0.015,0.659
Arjun Atwal,2005,65,61,0.075,0.256,-0.061,0.657
José María Olazábal,2005,55,41,-0.177,0.239,0.425,0.653
Steve Stricker,2005,62,59,-0.909,0.144,0.4,0.643
Brian Gay,2005,101,93,-0.204,-0.523,0.106,0.584
Aaron Baddeley,2005,84,76,-0.726,-0.28,0.191,0.575
Richard Johnson,2005,50,46,-0.018,0.19,0.019,0.575
Stewart Cink,2005,98,71,-0.262,0.529,0.011,0.545
Loren Roberts,2005,54,48,-0.539,0.771,0.188,0.54
Mark O'Meara,2005,66,52,-0.363,-0.694,-0.027,0.47
Tim Herron,2005,100,78,0.249,0.189,0.359,0.45
Brenden Pappas,2005,51,49,-0.614,0.204,0.033,0.45
Brent Geiberger,2005,61,52,-0.238,-0.665,-0.031,0.449
Dean Wilson,2005,86,80,-0.27,0.14,0.046,0.442
Phillip Price,2005,77,64,-0.347,0.163,0.117,0.439
Stephen Ames,2005,82,61,-0.087,0.369,0.094,0.426
Dudley Hart,2005,84,73,-0.213,0.41,0.038,0.406
Kirk Triplett,2005,55,44,-0.039,-0.056,-0.124,0.397
Jesper Parnevik,2005,84,68,0,-0.179,0.116,0.386
