player_name,year,rounds,measured_rounds,avg_off_tee,avg_approach,avg_around,avg_putting
Mark O'Meara,2006,52,36,-0.779,-0.683,0.358,0.413
José María Olazábal,2006,62,39,-0.122,0.449,0.51,0.375
Vaughn Taylor,2006,88,77,-0.039,0.524,0.208,0.366
Vance Veazey,2006,59,54,-0.442,-0.424,-0.122,0.364
Larry Mize,2006,53,41,-0.309,-0.616,0.023,0.363
Carl Pettersson,2006,95,75,0.115,0.003,0.309,0.361
Brent Geiberger,2006,99,90,0.039,-0.189,-0.104,0.36
Stephen Leaney,2006,84,77,-0.48,0.549,0.106,0.347
David Toms,2006,76,62,0.293,0.453,0.164,0.338
Tag Ridings,2006,103,90,-0.025,-0.577,-0.288,0.327
Freddie Jacobson,2006,56,54,-0.139,0.157,0.078,0.319
Paul Azinger,2006,87,80,-0.32,-0.125,0.302,0.315
Bernhard Langer,2006,77,59,-0.229,0.146,0.173,0.3
Kent Jones,2006,103,88,0.026,0.029,0.047,0.299
Todd Fischer,2006,101,90,-0.577,-0.186,0.187,0.297
Ryan Moore,2006,68,58,0.313,-0.274,-0.122,0.297
Mark Wilson,2006,79,72,-0.274,0.059,0.245,0.269
Phil Mickelson,2006,74,47,0.569,0.983,0.136,0.268
Greg Chalmers,2006,71,57,-0.797,-0.43,-0.172,0.266
Davis Love III,2006,85,57,0.446,0.488,-0.347,0.266
K.J. Choi,2006,93,79,0.253,0.277,0.094,0.255
Olin Browne,2006,108,86,-0.02,0.072,-0.048,0.248
David McKenzie,2006,82,69,-0.027,-0.295,-0.304,0.246
Corey Pavin,2006,74,57,-0.861,0.653,0.439,0.226
Jimmy Walker,2006,60,56,-0.685,-0.172,0.178,0.223
Jonathan Byrd,2006,66,54,0.543,0.247,0.153,0.221
Stuart Appleby,2006,83,64,0.33,0.222,0.591,0.22
Tim Clark,2006,80,58,-0.164,0.867,-0.151,0.22
Marco Dawson,2006,87,77,-0.114,-0.235,0.245,0.219
Eric Axley,2006,91,79,0.131,0.048,-0.351,0.214
Danny Ellis,2006,68,60,-0.031,-0.508,0.091,0.214
Harrison Frazar,2006,95,75,0.379,-0.322,-0.134,0.214
J.J. Henry,2006,96,77,0.223,0.37,0.039,0.196
Ian Poulter,2006,53,42,0.456,0.345,0.207,0.194
Arjun Atwal,2006,97,82,-0.251,-0.235,0.027,0.19
Robert Allenby,2006,79,60,0.524,0.481,-0.103,0.188
Greg Kraft,2006,79,67,-0.113,-0.316,-0.106,0.181
Chris Smith,2006,67,59,0.556,-0.456,-0.431,0.181
John Cook,2006,67,55,-0.243,-0.223,0.094,0.18
Arron Oberholser,2006,82,62,0.095,0.589,0.243,0.167
Shigeki Maruyama,2006,94,80,-0.207,0.025,0.249,0.162
David Duval,2006,71,53,-0.67,0.032,-0.178,0.157
Ted Purdy,2006,103,80,0.119,0.439,-0.147,0.145
Frank Lickliter II,2006,99,85,0.14,0.406,0.143,0.14
Lucas Glover,2006,105,86,0.724,0.51,-0.109,0.138
Jeff Sluman,2006,101,83,-0.258,0.457,0.183,0.138
Shaun Micheel,2006,96,78,-0.153,0.637,0.056,0.133
Tommy Armour III,2006,65,53,0.195,-0.08,-0.453,0.13
Retief Goosen,2006,68,46,0.229,0.574,0.213,0.129
Brandt Jobe,2006,91,70,0.2,0.265,-0.244,0.125
Charley Hoffman,2006,100,89,0.516,0.097,-0.047,0.123
Chris Riley,2006,86,69,-0.077,-0.704,0.362,0.122
Tim Petrovic,2006,95,83,-0.192,-0.281,0.193,0.12
Charles Howell III,2006,96,79,0.262,0.165,0.114,0.11
Steve Flesch,2006,119,103,-0.102,0.202,0.236,0.108
Ron Whittaker,2006,81,71,-0.29,-0.133,-0.163,0.105
Billy Mayfair,2006,94,77,0.192,0.077,0.101,0.103
D.A. Points,2006,82,71,-0.291,-0.026,0.022,0.102
John Rollins,2006,93,76,0.264,0.021,-0.036,0.102
Skip Kendall,2006,72,59,0.11,-0.16,-0.054,0.1
Fred Funk,2006,106,85,0.159,0.357,0.09,0.096
J.L. Lewis,2006,57,50,-0.066,-0.428,-0.12,0.086
Doug Barron,2006,74,67,-0.282,-0.415,0.112,0.084
Duffy Waldorf,2006,96,82,0.242,0.002,-0.156,0.084
Ryan Palmer,2006,101,82,0.318,-0.141,-0.259,0.081
Scott Verplank,2006,88,68,0.069,0.332,0.171,0.081
Shane Bertsch,2006,104,90,-0.222,-0.047,-0.134,0.077
Ben Curtis,2006,86,67,-0.118,0.065,-0.09,0.077
Henrik Bjornstad,2006,97,89,0.246,-0.304,-0.221,0.071
Jason Gore,2006,86,72,0.191,-0.159,-0.398,0.065
Hunter Mahan,2006,98,89,0.295,0.312,-0.261,0.065
James Driscoll,2006,80,76,-0.047,-1.044,0.05,0.064
Kevin Sutherland,2006,100,87,0.203,-0.148,0.263,0.063
Jason Schultz,2006,77,65,-0.303,-0.785,0.293,0.06
Kirk Triplett,2006,58,49,-0.057,-0.091,0.255,0.059
Trevor Immelman,2006,86,73,0.544,0.764,0.337,0.058
Vijay Singh,2006,103,84,0.447,0.809,0.414,0.055
Bo Van Pelt,2006,102,90,0.437,0.118,0.127,0.047
Zach Johnson,2006,98,77,0.418,0.254,0.089,0.045
Tjaart van der Walt,2006,60,52,-0.016,-0.146,-0.042,0.043
J.P. Hayes,2006,55,50,-0.237,0.189,0.1,0.038
Chris DiMarco,2006,83,61,-0.345,0.477,-0.06,0.033
Ryuji Imada,2006,105,87,-0.165,0.1,0.315,0.032
Joe Ogilvie,2006,95,78,0.014,0.009,0.082,0.023
Brian Bateman,2006,69,59,-0.013,-0.248,-0.143,0.022
Bob Estes,2006,85,75,-0.301,0.497,0.064,0.017
Jerry Kelly,2006,100,84,-0.012,0.212,0.268,0.01
Mike Sposa,2006,68,58,-0.049,-0.706,0.208,0.002
"John Engler, Jr.",2006,69,63,-0.463,-1.022,-0.029,-0.001
Briny Baird,2006,81,70,0.235,0.58,-0.147,-0.005
Ernie Els,2006,69,47,0.344,0.408,0.619,-0.007
Alex Aragon,2006,63,54,-0.372,-0.507,-0.396,-0.011
Dudley Hart,2006,83,71,-0.365,0.098,0.365,-0.014
Troy Matteson,2006,101,88,0.135,-0.082,-0.231,-0.014
Justin Rose,2006,98,86,0.052,0.616,0.078,-0.021
Nick Watney,2006,97,86,0.385,-0.115,0.141,-0.022
Mike Weir,2006,88,63,0.142,0.422,0.235,-0.035
Ryan Hietala,2006,61,51,-0.067,-1.04,-0.084,-0.036
Steve Jones,2006,83,69,-0.175,-0.124,-0.038,-0.036
Bob Tway,2006,81,67,-0.403,0.019,0.057,-0.047
Justin Leonard,2006,83,65,-0.154,0.111,0.441,-0.051
John Senden,2006,96,79,0.524,0.387,0.026,-0.053
Jeff Overton,2006,95,87,0.466,-0.219,-0.191,-0.057
Jason Bohn,2006,104,89,0.262,0.428,0.285,-0.074
Woody Austin,2006,107,93,-0.174,0.244,0.122,-0.078
Rich Beem,2006,85,65,0.353,-0.076,-0.251,-0.084
Chad Campbell,2006,91,67,-0.169,0.454,0.211,-0.086
Padraig Harrington,2006,54,38,0.233,0.744,0.074,-0.092
Hidemichi Tanaka,2006,74,65,-1.08,-0.788,0.083,-0.099
Tom Lehman,2006,70,47,0.306,0.308,0.065,-0.109
John Huston,2006,74,65,-0.168,-0.077,0.077,-0.111
Steve Lowery,2006,99,83,0.247,0.178,0.011,-0.118
Sergio Garcia,2006,59,39,0.383,0.719,0.02,-0.123
Adam Scott,2006,70,51,0.955,1.115,0.16,-0.13
Paul Stankowski,2006,70,63,0.001,-0.003,-0.162,-0.134
Kris Cox,2006,83,72,0.07,0.054,-0.007,-0.136
Bart Bryant,2006,87,71,0.299,0.379,-0.145,-0.138
Rory Sabbatini,2006,84,64,0.258,0.323,0.313,-0.144
Jerry Smith,2006,94,84,-0.435,0.344,0.276,-0.161
Brett Wetterich,2006,82,73,0.801,0.079,-0.092,-0.161
Todd Hamilton,2006,72,56,-0.492,-0.786,-0.146,-0.164
Jeff Maggert,2006,81,68,0.108,0.08,-0.17,-0.168
Sean O'Hair,2006,100,76,0.234,-0.021,-0.057,-0.17
Ian Leggatt,2006,80,70,-0.345,-0.012,-0.232,-0.172
David Branshaw,2006,98,87,0.21,0.304,-0.343,-0.173
D.J. Trahan,2006,92,76,0.269,0.069,-0.289,-0.179
Daisuke Maruyama,2006,83,70,0.069,0.224,-0.131,-0.182
Jeff Brehaut,2006,100,85,0.074,-0.003,-0.226,-0.184
Robert Gamez,2006,94,82,-0.001,0.279,-0.219,-0.194
Lee Janzen,2006,79,68,-0.587,0.071,0.031,-0.196
Bubba Dickerson,2006,98,86,0.231,-0.195,-0.229,-0.203
Mathias Grönberg,2006,92,79,0.449,-0.052,-0.156,-0.204
Fred Couples,2006,52,32,0.543,0.08,-0.072,-0.214
Carlos Franco,2006,86,77,-0.272,0.102,0.093,-0.215
Paul Goydos,2006,72,64,-0.189,0.188,0.232,-0.215
Patrick Sheehan,2006,104,87,-0.014,0.043,-0.233,-0.223
Robert Damron,2006,91,82,-0.253,0.161,0.048,-0.225
Bill Haas,2006,99,88,0.054,0.141,0.109,-0.228
Mathew Goggin,2006,72,58,0.457,-0.046,-0.104,-0.234
Bob May,2006,65,54,0.033,0.284,-0.025,-0.238
Billy Andrade,2006,78,60,-0.301,0.348,0.255,-0.248
Jeff Gove,2006,91,81,0.255,0.245,0.183,-0.26
Bubba Watson,2006,83,72,0.807,0.196,-0.157,-0.268
Mark Calcavecchia,2006,94,79,-0.129,0.324,-0.056,-0.276
Camilo Villegas,2006,95,82,0.629,0.249,0.045,-0.278
Scott Gutschewski,2006,53,45,0.333,-0.274,-0.218,-0.288
Craig Barlow,2006,77,58,-0.075,0.032,0.376,-0.292
Heath Slocum,2006,96,84,0.333,0.328,-0.192,-0.299
Roger Tambellini,2006,64,53,0.163,-0.388,-0.4,-0.306
Charles Warren,2006,93,81,0.74,0.353,-0.209,-0.311
Jon Mills,2006,68,54,-0.09,-0.514,0.024,-0.325
Kenny Perry,2006,73,60,0.742,0.412,-0.236,-0.33
Steve Elkington,2006,52,46,0.302,-0.153,0.213,-0.334
Greg Owen,2006,79,62,0.636,0.505,0.053,-0.348
Robert Garrigus,2006,85,74,0.334,0.284,-0.217,-0.37
J.B. Holmes,2006,81,63,0.758,-0.28,-0.151,-0.374
Joey Sindelar,2006,90,76,-0.022,0.792,-0.355,-0.381
Chris Couch,2006,75,67,0.533,-0.176,-0.53,-0.386
Joe Durant,2006,101,96,0.75,0.486,-0.244,-0.401
"Wes Short, Jr.",2006,96,85,-0.089,0.066,-0.427,-0.411
Brian Davis,2006,92,81,0.291,0.118,0.195,-0.42
Michael Connell,2006,51,42,-0.486,-0.203,-0.108,-0.44
Peter Lonard,2006,77,66,0.095,0.067,0.234,-0.442
Will MacKenzie,2006,91,75,0.229,0.054,-0.027,-0.443
Mark Brooks,2006,90,74,-0.3,-0.243,0.207,-0.508
Jonathan Kaye,2006,95,86,0.478,0.009,0.008,-0.563
John Daly,2006,51,41,0.196,-0.028,-0.239,-0.566
Omar Uresti,2006,61,51,0.131,-0.054,0.368,-0.57
Tim Herron,2006,82,62,0.115,0.18,0.175,-0.579
Pat Perez,2006,50,42,-0.053,0.195,0.27,-0.585
Thomas Levet,2006,53,48,0.157,0.079,-0.294,-0.703
Matt Hansen,2006,68,58,0.352,-0.105,-0.323,-0.722
Alex Cejka,2006,93,80,0.042,0.434,0.066,-0.734
Nicholas Thompson,2006,96,78,0.497,-0.324,-0.223,-0.875
Jesper Parnevik,2007,88,75,-0.039,-0.272,-0.064,0.979
Tiger Woods,2007,63,43,0.624,1.653,0.103,0.712
Tim Clark,2007,66,53,-0.105,0.246,0.151,0.695
Freddie Jacobson,2007,70,68,-0.033,0.24,0.145,0.66
Zach Johnson,2007,76,60,0.214,0.414,-0.214,0.659
Aaron Baddeley,2007,83,66,0.152,-0.252,0.535,0.629
Dean Wilson,2007,92,75,-0.554,0.274,0.105,0.619
Bob Estes,2007,88,80,-0.373,-0.094,0.232,0.616
Tag Ridings,2007,52,45,-0.107,-0.303,-0.263,0.605
Rory Sabbatini,2007,81,63,0.151,0.254,0.311,0.549
Chris Tidland,2007,59,51,-0.009,-0.822,-0.422,0.547
K.J. Choi,2007,87,68,0.161,0.081,0.632,0.518
Brandt Snedeker,2007,105,86,-0.157,0.226,0.092,0.511
George McNeill,2007,95,80,0.19,-0.148,-0.255,0.487
Craig Lile,2007,77,69,-0.361,-0.255,0.024,0.484
José María Olazábal,2007,52,37,-0.879,-0.367,0.301,0.481
Ryuji Imada,2007,104,89,-0.534,-0.079,0.398,0.474
Luke Donald,2007,69,50,0.005,0.142,0.342,0.438
Rich Barcelo,2007,80,70,-0.402,-0.377,-0.078,0.435
Parker McLachlin,2007,83,73,-0.358,-0.509,0.104,0.419
Charlie Wi,2007,90,83,-0.032,-0.195,0.232,0.416
Stewart Cink,2007,91,72,-0.233,0.552,-0.062,0.412
Shigeki Maruyama,2007,84,80,-0.619,-0.173,0.331,0.396
Brian Gay,2007,107,97,-0.442,0.177,0.237,0.384
Paul Goydos,2007,60,47,-0.169,0.13,-0.139,0.37
Arron Oberholser,2007,69,53,0.125,0.3,0.396,0.362
Joe Ogilvie,2007,102,87,-0.008,-0.119,0.2,0.351
Kevin Na,2007,84,78,-0.229,-0.156,0.357,0.348
Gavin Coles,2007,87,77,-0.666,0.022,0.018,0.34
Charles Howell III,2007,89,66,-0.212,0.144,0.099,0.338
Steve Elkington,2007,87,73,0.276,-0.072,0.301,0.324
Tom Pernice Jr.,2007,104,84,-0.19,0.149,0.354,0.324
Steve Stricker,2007,81,65,0.002,0.811,0.351,0.322
Corey Pavin,2007,81,71,-0.968,0.235,0.246,0.309
Dicky Pride,2007,71,61,-0.699,0.033,0.036,0.307
Henrik Stenson,2007,52,36,0.211,0.191,-0.414,0.3
Michael Sim,2007,52,50,-0.24,-0.126,0.108,0.298
Jonathan Byrd,2007,73,62,-0.191,0.13,0.274,0.296
Tim Petrovic,2007,106,95,-0.22,-0.205,0.25,0.29
Chris Riley,2007,59,51,-0.343,-0.277,0.644,0.281
David Toms,2007,80,63,-0.087,0.596,0.102,0.278
Sergio Garcia,2007,68,55,0.048,0.784,0.36,0.269
Fred Funk,2007,65,53,-0.27,0.333,-0.116,0.265
Padraig Harrington,2007,64,46,0.133,0.298,0.235,0.26
Steve Allan,2007,63,55,0.439,-0.402,-0.052,0.259
Craig Bowden,2007,78,67,-0.169,-0.087,-0.003,0.255
Stephen Ames,2007,81,62,0.124,0.464,-0.258,0.251
Nathan Green,2007,103,87,-0.134,-0.017,0.173,0.241
Richard Johnson,2007,93,84,-0.357,-0.238,-0.043,0.24
Vaughn Taylor,2007,91,72,-0.076,0.355,-0.01,0.237
Carl Pettersson,2007,111,92,0.092,0.312,0.185,0.232
Frank Lickliter II,2007,95,85,0.211,-0.046,-0.304,0.227
Daniel Chopra,2007,106,95,-0.02,0.036,0.164,0.222
Bob Heintz,2007,85,72,-0.267,-0.113,0.237,0.221
Heath Slocum,2007,101,93,0.134,0.409,0.115,0.22
Stephen Leaney,2007,82,74,-0.478,0.67,0.001,0.219
Hunter Mahan,2007,91,72,0.496,0.32,-0.397,0.213
Mark Hensby,2007,81,72,-0.233,-0.446,0.209,0.204
Bart Bryant,2007,87,74,0.18,0.253,0.008,0.198
Bryce Molder,2007,56,49,-0.956,-0.832,0.159,0.186
Sean O'Hair,2007,98,83,0.484,0.44,0.048,0.18
Troy Matteson,2007,87,76,0.239,-0.045,-0.047,0.169
Andrew Buckle,2007,77,67,-0.223,-0.28,0.077,0.161
Tripp Isenhour,2007,86,73,-0.214,-0.431,-0.031,0.161
Bob Tway,2007,103,88,-0.314,-0.131,-0.044,0.16
Bo Van Pelt,2007,104,97,0.354,0.282,0.153,0.16
Phil Mickelson,2007,73,52,0.328,0.614,0.499,0.156
Charley Hoffman,2007,97,83,0.348,-0.245,-0.29,0.153
Jarrod Lyle,2007,77,67,0.099,-0.204,0.126,0.149
Ryan Moore,2007,92,75,0.196,0.287,-0.128,0.133
Ryan Armour,2007,107,94,0.229,-0.098,-0.297,0.129
Adam Scott,2007,69,54,0.478,0.708,-0.081,0.129
Justin Leonard,2007,95,82,-0.073,0.173,0.293,0.124
Lucas Glover,2007,98,78,0.542,0.15,-0.074,0.113
John Rollins,2007,102,84,0.417,-0.169,0.165,0.104
Marco Dawson,2007,73,65,-0.407,-0.001,0.301,0.103
Ryan Palmer,2007,91,82,0.028,0.116,-0.44,0.102
Ken Duke,2007,112,95,0.329,0.233,-0.123,0.1
Jason Gore,2007,86,78,0.411,-0.158,-0.145,0.1
Cliff Kresge,2007,107,100,-0.231,0.248,-0.038,0.095
Tim Herron,2007,98,82,-0.021,0.146,0.238,0.092
Pat Perez,2007,84,65,-0.09,0.265,0.065,0.09
Jay Williamson,2007,50,48,0.447,0.026,-0.162,0.09
Bubba Watson,2007,80,66,0.539,-0.06,-0.192,0.085
Michael Boyd,2007,61,52,-0.258,-0.813,0.138,0.072
Geoff Ogilvy,2007,84,64,0.523,0.026,0.2,0.072
John Mallinger,2007,96,87,0.028,-0.164,0.068,0.068
Jeff Quinney,2007,95,86,-0.201,0.184,-0.087,0.067
Brian Davis,2007,101,88,0.014,0.23,0.284,0.065
Glen Day,2007,85,75,-0.09,-0.287,0.139,0.063
Justin Rose,2007,63,39,0.157,0.404,0.255,0.061
Jeff Overton,2007,60,54,0.613,0.217,-0.008,0.06
Eric Axley,2007,107,94,-0.46,-0.194,-0.131,0.059
Camilo Villegas,2007,82,69,0.369,0.603,-0.068,0.046
Matt Kuchar,2007,85,71,-0.32,0.318,0.371,0.041
Todd Hamilton,2007,76,58,-0.398,-0.883,-0.304,0.032
Scott Gutschewski,2007,67,58,0.049,-0.459,-0.456,0.03
Rich Beem,2007,89,70,0.223,0.112,-0.107,0.027
J.J. Henry,2007,86,68,0.374,0.171,-0.096,0.024
Mark Wilson,2007,87,73,0.094,0.078,0.27,0.024
Jason Schultz,2007,63,53,-0.144,-0.676,0.324,0.022
Tommy Armour III,2007,81,69,0.333,0.084,-0.279,0.019
Craig Kanada,2007,109,94,-0.308,0.038,0.268,0.012
Rod Pampling,2007,92,74,0.292,0.198,0.148,0.01
J.P. Hayes,2007,89,80,0.029,-0.089,0.357,-0.002
Mathias Grönberg,2007,95,88,0.424,-0.197,-0.226,-0.004
Brett Quigley,2007,79,63,-0.248,0.362,0.02,-0.005
Mathew Goggin,2007,97,87,0.691,-0.255,-0.071,-0.018
Bill Haas,2007,93,82,0.443,0.063,-0.081,-0.018
Doug LaBelle II,2007,104,91,-0.096,-0.423,0.199,-0.018
Retief Goosen,2007,50,34,-0.039,0.176,0.088,-0.02
Vijay Singh,2007,102,82,0.583,0.464,0.355,-0.023
Kevin Sutherland,2007,85,69,-0.077,-0.078,0.237,-0.023
D.J. Brigman,2007,67,54,-0.195,-0.146,-0.123,-0.026
Shaun Micheel,2007,91,70,-0.017,0.382,0.027,-0.027
Ernie Els,2007,59,44,0.452,0.994,0.163,-0.031
Michael Allen,2007,74,64,-0.082,0.014,0.196,-0.035
Stuart Appleby,2007,74,58,0.041,-0.157,0.493,-0.037
Ian Poulter,2007,63,39,0.279,0.027,0.653,-0.038
Rocco Mediate,2007,72,67,-0.292,0.518,0.022,-0.041
Briny Baird,2007,115,105,0.132,0.502,0.001,-0.049
Nick O'Hern,2007,72,55,-0.287,0.226,0.288,-0.057
Robert Garrigus,2007,95,86,0.468,0.222,-0.609,-0.062
Jeff Maggert,2007,79,78,0.017,0.152,-0.151,-0.066
Chris DiMarco,2007,79,63,-0.349,0.556,-0.023,-0.068
Cameron Beckman,2007,96,85,0.201,0.273,0.016,-0.072
Tom Byrum,2007,50,41,-0.278,-0.175,-0.313,-0.077
Brian Bateman,2007,55,44,-0.284,-0.121,-0.255,-0.079
Brendon de Jonge,2007,76,66,-0.002,0.079,-0.265,-0.083
Jim Furyk,2007,84,66,0.199,0.589,0.413,-0.083
Steve Lowery,2007,74,69,0.144,-0.246,-0.043,-0.086
Billy Mayfair,2007,98,83,0.234,0.315,0.141,-0.086
Chris Stroud,2007,66,56,0.146,-0.257,0.157,-0.087
Jason Dufner,2007,100,87,-0.07,-0.011,0.158,-0.089
Joey Sindelar,2007,75,67,-0.075,0.293,-0.389,-0.102
Anthony Kim,2007,93,80,0.578,0.2,0.016,-0.121
Billy Andrade,2007,88,79,-0.272,0.244,-0.079,-0.134
Chris Couch,2007,76,73,0.369,-0.333,-0.517,-0.135
Kent Jones,2007,97,88,-0.059,0.218,0.158,-0.141
Steve Wheatcroft,2007,73,61,0.023,-0.541,-0.209,-0.153
Paul Stankowski,2007,52,42,-0.159,-0.144,0.113,-0.159
Michael Putnam,2007,96,80,-0.008,0.144,-0.146,-0.166
Will MacKenzie,2007,100,91,0.295,0.27,-0.049,-0.173
Anders Hansen,2007,55,34,-0.224,0.335,-0.023,-0.176
Peter Lonard,2007,85,76,0.524,-0.138,-0.066,-0.179
Jason Bohn,2007,57,53,0.237,0.418,-0.122,-0.185
Ben Curtis,2007,80,64,-0.03,-0.554,0.023,-0.188
Steve Marino,2007,106,91,0.25,0.155,-0.041,-0.189
Boo Weekley,2007,101,78,0.876,0.231,-0.289,-0.192
Nick Watney,2007,87,70,0.622,-0.261,0.093,-0.198
Woody Austin,2007,95,84,0.183,0.383,-0.039,-0.208
Mark Brooks,2007,53,41,-0.128,-0.566,0.193,-0.211
Mark Calcavecchia,2007,93,73,0.277,0.333,0.107,-0.213
Robert Gamez,2007,88,76,0.019,0.133,-0.349,-0.215
Duffy Waldorf,2007,69,59,0.041,0.102,-0.174,-0.219
Lee Janzen,2007,66,52,-0.387,-0.126,0.131,-0.226
Jerry Kelly,2007,101,75,0.279,0.469,0.1,-0.227
Johnson Wagner,2007,97,86,0.124,0.404,-0.105,-0.229
Scott Verplank,2007,82,59,0.323,0.671,0.185,-0.236
Steve Flesch,2007,100,90,-0.137,0.204,0.185,-0.244
Jeff Brehaut,2007,59,49,-0.227,-0.299,0.129,-0.25
John Senden,2007,97,84,0.366,0.435,-0.023,-0.25
Craig Barlow,2007,52,44,-0.046,0.135,0.189,-0.253
Trevor Immelman,2007,74,54,0.357,0.322,0.056,-0.253
Daisuke Maruyama,2007,86,76,0.16,0.068,-0.348,-0.265
José Coceres,2007,50,42,0.009,0.346,-0.11,-0.283
Davis Love III,2007,66,53,0.223,0.421,-0.307,-0.29
Paul Gow,2007,70,57,-0.122,-0.824,0.256,-0.294
Mike Weir,2007,82,60,0.267,0.241,0.498,-0.294
John Daly,2007,59,49,-0.111,-0.142,-0.225,-0.297
Jeff Sluman,2007,60,42,-0.416,0.014,0.067,-0.313
Kyle Reifers,2007,71,63,0.005,-0.261,-0.185,-0.322
Charles Warren,2007,101,93,0.68,0.119,-0.162,-0.324
Kenny Perry,2007,83,75,0.485,0.437,0.059,-0.337
Matt Hendrix,2007,63,55,0.308,-0.406,-0.78,-0.339
Tom Lehman,2007,62,49,-0.07,0.566,0.16,-0.355
Robert Allenby,2007,90,75,0.638,0.845,-0.449,-0.364
Ted Purdy,2007,102,87,0.235,0.054,-0.089,-0.37
Tom Johnson,2007,74,63,-0.093,-0.32,-0.031,-0.372
David Branshaw,2007,83,75,-0.015,-0.146,-0.5,-0.382
John Merrick,2007,92,81,0.137,0.105,0.142,-0.409
Jaco Van Zyl,2007,51,44,-0.201,-0.074,-0.447,-0.418
Jim Rutledge,2007,59,46,0.041,-0.944,-0.139,-0.425
Harrison Frazar,2007,88,73,0.269,-0.278,0.02,-0.439
Chad Campbell,2007,96,73,-0.134,0.474,-0.099,-0.477
Alex Cejka,2007,80,74,0.257,0.609,0.34,-0.479
Brett Wetterich,2007,88,70,0.671,0.205,-0.21,-0.533
J.B. Holmes,2007,71,64,0.828,-0.447,-0.159,-0.559
D.J. Trahan,2007,99,90,0.556,0.143,-0.169,-0.559
Kirk Triplett,2007,77,68,-0.046,-0.072,0.128,-0.595
Bubba Dickerson,2007,51,43,0.111,-0.945,-0.136,-0.66
Kevin Stadler,2007,95,78,0.259,0.146,-0.356,-0.75
Jeff Gove,2007,103,94,0.147,0.593,0.073,-0.774
Greg Owen,2007,81,70,0.411,-0.178,-0.299,-0.848
Joe Durant,2007,88,73,0.698,0.545,-0.363,-0.901
Darron Stiles,2007,65,53,0.089,0.216,0.063,-1.017
Corey Pavin,2008,69,56,-1.058,0.227,0.237,0.973
Bob Tway,2008,70,57,-0.087,0.35,-0.173,0.822
Marc Turnesa,2008,87,76,-0.264,-0.323,-0.019,0.789
Daniel Chopra,2008,84,69,-0.148,-0.76,0.183,0.786
Aaron Baddeley,2008,76,60,0.096,-0.192,0.218,0.762
Ben Crane,2008,86,75,0.171,-0.081,0.045,0.745
Jeff Quinney,2008,87,73,-0.965,0.781,-0.055,0.654
Dudley Hart,2008,74,67,-0.456,0.204,0.132,0.652
Chad Collins,2008,72,63,-1.078,-0.345,0.292,0.648
Eric Axley,2008,113,98,-0.785,-0.362,0.158,0.605
Dean Wilson,2008,109,93,-0.76,0.563,-0.041,0.579
Jesper Parnevik,2008,88,75,-0.11,-0.501,0.229,0.561
Nathan Green,2008,95,91,-0.423,-0.342,0.221,0.539
Carl Pettersson,2008,110,97,-0.052,0.236,0.036,0.534
Stewart Cink,2008,87,64,0.045,0.501,0.058,0.521
Ian Poulter,2008,51,36,-0.056,-0.32,0.238,0.518
Brian Gay,2008,102,86,-0.529,0.537,0.198,0.511
Greg Kraft,2008,63,50,-0.207,-0.367,-0.242,0.501
Richard Johnson,2008,77,68,-0.26,-0.171,0.097,0.5
Richard Johnson,2008,77,68,-0.26,-0.171,-0.083,0.5
Richard Johnson,2008,77,68,-0.26,-0.962,0.097,0.5
Richard Johnson,2008,77,68,-0.26,-0.962,-0.083,0.5
Richard Johnson,2008,77,68,-0.392,-0.171,0.097,0.5
Richard Johnson,2008,77,68,-0.392,-0.171,-0.083,0.5
Richard Johnson,2008,77,68,-0.392,-0.962,0.097,0.5
Richard Johnson,2008,77,68,-0.392,-0.962,-0.083,0.5
K.J. Choi,2008,74,57,-0.017,0.158,0.252,0.491
Ryuji Imada,2008,80,68,-0.406,0.232,0.349,0.469
Ken Duke,2008,116,105,-0.012,0.159,-0.018,0.467
Justin Leonard,2008,101,73,0.265,0.244,0.165,0.463
Freddie Jacobson,2008,78,64,-0.227,0.234,0.127,0.455
Mark Wilson,2008,107,104,0.05,-0.055,0.16,0.455
Joe Ogilvie,2008,100,87,0.186,-0.443,-0.032,0.446
Parker McLachlin,2008,88,79,-0.18,-0.067,0.162,0.445
Ryan Palmer,2008,69,60,0.122,0.47,-0.312,0.43
Stuart Appleby,2008,87,67,-0.024,0.31,0.362,0.427
Steve Elkington,2008,84,73,0.297,0.054,-0.088,0.415
Steve Stricker,2008,75,58,-0.345,0.377,0.464,0.411
Tim Herron,2008,97,87,0.104,-0.404,0.217,0.407
Craig Kanada,2008,65,55,-0.497,-0.312,0.193,0.407
Doug LaBelle II,2008,65,51,-0.261,-0.431,-0.004,0.407
Jim Furyk,2008,95,75,0.26,0.59,0.031,0.405
Patrick Sheehan,2008,124,105,-0.226,-0.013,-0.136,0.395
Richard Johnson,2008,60,49,-0.26,-0.171,0.097,0.383
Richard Johnson,2008,60,49,-0.26,-0.171,-0.083,0.383
Richard Johnson,2008,60,49,-0.26,-0.962,0.097,0.383
Richard Johnson,2008,60,49,-0.26,-0.962,-0.083,0.383
Richard Johnson,2008,60,49,-0.392,-0.171,0.097,0.383
Richard Johnson,2008,60,49,-0.392,-0.171,-0.083,0.383
Richard Johnson,2008,60,49,-0.392,-0.962,0.097,0.383
Richard Johnson,2008,60,49,-0.392,-0.962,-0.083,0.383
Anthony Kim,2008,81,65,0.549,0.474,0.093,0.362
